CORREGIMIENTO,REGION,Image URL,Sem 11,Sem 12,Sem 13,Sem 14,Sem 15,Sem 16,Sem 17,Sem 18,Sem 19,Sem 20,Sem 21,Sem 22,Sem 23,Sem 24,Sem 25,Sem 26,Sem 27,Sem 28,Sem 29
SAN JUAN BAUTISTA,HERRERA,,0,0,0,0,0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,30.2,82.9,105.5,158.3
SAN JUAN DE DIOS,COCLE,,0,0,0,0,0,0,0,0,0,0,20.2,20.2,20.2,40.5,60.7,80.9,121.4,121.4,141.6
SAN LORENZO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.4,398.6,757.3,1195.7
SAN MARCELO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.1,162.1
SAN MARTIN,PANAMA ESTE,,0,0,0,14.4,158.5,201.8,475.6,605.3,893.5,965.6,1023.2,1109.7,1239.4,1297,1369.1,1570.8,1801.4,2132.9,2464.3
SAN MARTIN DE PORRES,VERAGUAS,,0,0,86,258,859.8,1547.7,2923.5,3611.3,3783.3,3955.3,4127.3,4471.2,4815.1,4901.1,6104.9,9802.2,11264,12467.8,14445.4
SAN MIGUEL,PANAMA ESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,155,155,232.6
SAN PABLO NUEVO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7,342.3,489,782.4,880.2,929.1
SAN PABLO VIEJO,CHIRIQUI,,0,0,34.9,34.9,34.9,55.8,55.8,62.7,62.7,62.7,62.7,62.7,76.7,83.6,97.6,146.4,181.2,257.9,285.8
SAN PEDRO DEL ESPINO,VERAGUAS,,0,0,0,0,225,225,225,225,225,281.2,281.2,281.2,281.2,337.5,731.2,731.2,731.2,731.2,731.2
SANTA ANA,METROPOLITANA,,0,14.8,182.8,340.9,464.5,553.4,662.1,795.5,840,874.6,919.1,998.1,1166.1,1363.8,1605.9,1813.4,2006.1,2223.5,2584.2
SANTA CLARA,PANAMA OESTE,,0,0,0,36,107.9,107.9,107.9,143.9,143.9,215.8,215.8,215.8,215.8,215.8,215.8,251.8,323.7,323.7,539.6
SANTA CRUZ,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.5,123.5
SANTA FE,DARIEN,,0,0,0,18.8,131.3,337.5,393.8,431.3,450,487.5,506.3,506.3,506.3,1518.8,2793.9,3450.2,3956.5,4125.3,4406.5
SANTA FE,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,30.7,122.9,276.5,276.5
SANTA ISABEL,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,295,1179.9
SANTA MARIA,HERRERA,,0,0,0,0,0,0,0,56.1,56.1,56.1,56.1,56.1,56.1,112.3,112.3,112.3,112.3,112.3,505.3
SANTA MARTA,CHIRIQUI,,0,0,25.7,128.5,128.5,154.2,154.2,154.2,154.2,154.2,154.2,179.9,179.9,205.5,359.7,462.5,539.6,591,719.4
SANTA RITA,PANAMA OESTE,,0,42.5,85.1,85.1,85.1,170.1,212.7,212.7,212.7,212.7,212.7,212.7,297.7,297.7,340.3,382.8,467.9,510.4,553
SANTA ROSA,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.6,158.6,713.7
SANTA ROSA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.7,140.7,187.6,187.6
SANTIAGO,VERAGUAS,,0,9.3,46.3,111.2,148.2,171.4,227,291.9,324.3,356.7,407.7,1501,1630.7,1723.3,1853.1,2033.7,2223.7,2492.4,2649.9
SANTO DOMINGO,CHIRIQUI,,0,0,0,0,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,70.4,70.4,105.6,105.6,105.6,176.1,281.7
SANTO DOMINGO,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,136.1
SANTO TOMAS,CHIRIQUI,,0,0,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,139.2,139.2,139.2,139.2,278.4,347.9
SOLANO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,90.7,127
SOLOY,NGOBE BUGLE,,0,0,0,0,0,0,0,14.8,14.8,14.8,14.8,59.3,74.1,74.1,74.1,74.1,133.4,148.2,266.8
SONA,VERAGUAS,,0,25.7,94.4,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,137.2,188.7,223,248.8,274.5,334.5,403.2,523.2
SORA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6,135.9
SORTOVA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,76.3,76.3
SUSAMA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,264.6,264.6,264.6,264.6,264.6,291.1,370.5
TABOGA,METROPOLITANA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.9,329.7,769.2,1428.6,1538.5
TEBARIO,VERAGUAS,,0,0,0,0,0,0,0,0,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8
TIJERAS,CHIRIQUI,,0,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,102.7,273.9,342.3,513.5,513.5,513.5
TINAJAS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,128.8
TOABRE,COCLE,,0,0,0,0,0,0,0,0,0,9.3,9.3,9.3,9.3,18.6,233.1,372.9,410.2,419.5,503.4
TOCUMEN,METROPOLITANA,,0,7.3,20.4,50.6,106.9,151,207.3,293.8,370.5,437.4,492.9,580.2,662.6,768.7,903.4,1083.7,1233.9,1459.9,1676.2
TOLE,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,144.1,230.5
TOLOTE,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,52.4,52.4
TORTI,PANAMA ESTE,,0,8.6,8.6,17.2,25.8,25.8,34.3,34.3,34.3,103,171.7,188.9,223.3,223.3,334.9,429.4,575.4,815.8,979
TOZA,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,74.2,74.2,74.2,74.2,74.2,74.2,74.2
TUBUALA,GUNA YALA,,0,0,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,21.3
TUCUTI,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,86.3,86.3,86.3,86.3
TULU,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,20.1,20.1,20.1,20.1
TUWAI,NGOBE BUGLE,,0,0,0,0,0,0,0,45.8,732.1,892.2,915.1,915.1,960.9,960.9,960.9,1029.5,1281.2,1372.7,2173.4
URRACA,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,70.4,70.4
UTIRA,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,283.3,283.3,283.3,283.3,283.3,283.3,283.3,283.3
VALLE DE AGUA ARRIBA,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,18.5,18.5,18.5,18.5,18.5
VALLE DEL RISCO,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,17.3,51.8,51.8,51.8,51.8,86.3,138.1
VERACRUZ,METROPOLITANA,,0,22,61.6,171.6,360.9,510.5,792.1,985.8,1056.2,1104.6,1197,1298.2,1395.1,1593.1,1747.1,1861.5,1958.4,2165.2,2424.9
VICTORIANO LORENZO,SAN MIGUELITO,,0,0,43.6,70.8,152.4,179.7,196,217.8,239.5,294,337.5,419.2,500.8,631.5,762.2,876.5,1121.5,1388.2,1704
VIGUI,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1,97.1,97.1,97.1
VILLA CARMEN,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,182,182,242.7,364.1,424.8
VILLA ROSARIO,PANAMA OESTE,,0,0,50.6,50.6,67.5,84.4,151.9,151.9,151.9,151.9,151.9,168.7,185.6,219.4,354.4,371.2,421.9,556.9,641.2
VILLARREAL,COCLE,,0,0,0,54.1,54.1,54.1,54.1,81.2,81.2,81.2,81.2,81.2,81.2,135.3,162.4,162.4,162.4,162.4,162.4
VIRGEN DEL CARMEN,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,48,59.9,59.9,59.9,59.9,59.9,95.9
VISTA ALEGRE,PANAMA OESTE,,0,14.7,46.7,94.6,145.3,177.3,217.3,285.3,330.6,367.9,413.2,494.5,607.8,761.1,1002.4,1166.4,1431.6,1711.6,2027.5
VOLCAN,CHIRIQUI,,0,0,0,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,30.6,76.6,153.2,306.4
YAPE,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.1,749.1
YAVIZA,DARIEN,,0,0,0,62.1,155.3,170.9,217.5,233,233,264.1,295.1,357.3,434.9,2407.6,3417.2,3945.3,4349.2,4877.3,5125.8
ZAPALLAL,DARIEN,,0,0,0,0,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,247.5,247.5,247.5,247.5
